#Last modified 2019/12/13 
##Summary-------------------------------------------------------------------------
# Free Gas Energy
#N=66 a=1/(100 MeV) at=1/(1000 MeV)
#L  exact   bcc3    bcc3_tr     FG
5   1311.9   1293.4   1308.9   1318.5     
#66 5   200 	 0.4823E+03 0.1816E+01 	 0.4408E+03 0.2716E+01 1000 3400  # out_1L5Lt200
#66 5   300 	 0.4825E+03 0.8666E+00 	 0.4314E+03 0.1264E+02 1000 3400  # out_1L5Lt300
#66 5   400 	 0.4807E+03 0.8737E+00 	 0.4418E+03 0.1856E+01 1000 3400  # out_1L5Lt400
#66 5   500 	 0.4802E+03 0.8580E+00 	 0.4432E+03 0.1840E+01 1000 3400  # out_1L5Lt500
#66 5   600 	 0.4801E+03 0.9938E+00 	 0.4423E+03 0.1909E+01 1000 3400  # out_1L5Lt600
#(L=5) Ltouter=5 ntot=10000 MR=200
66 5   100 	 0.5122E+03 0.3369E+00 	 0.4751E+03 0.6085E+00 10000 3400  # out_L5Lt100
66 5   200 	 0.4946E+03 0.3123E+00 	 0.4550E+03 0.5953E+00 10000 3400  # out_L5Lt200
66 5   300 	 0.4944E+03 0.2943E+00 	 0.4536E+03 0.1071E+01 10000 3400  # out_L5Lt300 #may not converged 
66 5   400 	 0.4937E+03 0.3098E+00 	 0.4533E+03 0.7960E+00 8470 3400  # out_L5Lt400
66 5   500 	 0.4934E+03 0.3462E+00 	 0.4529E+03 0.6342E+00 7760 3400  # out_L5Lt500
66 5   600 	 0.4929E+03 0.3682E+00 	 0.4529E+03 0.7220E+00 6440 3400  # out_L5Lt600

#(L=5) Ltouter=0 ntot=10000 MR=800
66 5   100 	 0.5682E+03 0.1042E+00 	 0.5435E+03 0.1580E+00 10000 4080  # out_L5Lt100Lto0ifread0
66 5   200 	 0.5164E+03 0.2608E+00 	 0.4821E+03 0.3107E+00 10000 4080  # out_L5Lt200Lto0ifread0
66 5   300 	 0.4955E+03 0.2970E+00 	 0.4570E+03 0.3428E+00 10000 4080  # out_L5Lt300Lto0ifread0
66 5   400 	 0.4933E+03 0.6197E+00 	 0.4538E+03 0.7318E+00 10000 4080  # out_L5Lt400Lto0ifread0 #may not converged 
66 5   500 	 0.4937E+03 0.2719E+00 	 0.4539E+03 0.3526E+00 10000 4080  # out_L5Lt500Lto0ifread0
66 5   600 	 0.4930E+03 0.3402E+00 	 0.4526E+03 0.4503E+00 9630 4080  # out_L5Lt600Lto0ifread0 #may not converged 

##(L=6) Ltouter=5 ntot=1000 MR=200 
#66 6   100 	 0.3934E+03 0.5395E+00 	 0.3672E+03 0.1035E+01 1000 3400  # out_1L6Lt100
#66 6   200 	 0.3611E+03 0.9568E+00 	 0.3294E+03 0.3665E+01 760 3400  # out_1L6Lt200
#66 6   300 	 0.3503E+03 0.1122E+01 	 0.3205E+03 0.2215E+01 513 3400  # out_1L6Lt300
#66 6   400 	 0.3444E+03 0.3407E+01 	 0.3181E+03 0.4954E+01 363 3400  # out_1L6Lt400
#(L=6) Ltouter=5 ntot=10000 MR=200 
66 6   100 	 0.3935E+03 0.1505E+00 	 0.3670E+03 0.2829E+00 10000 3400  # out_L6Lt100
66 6   200 	 0.3642E+03 0.2293E+00 	 0.3344E+03 0.4638E+00 7580 3400  # out_L6Lt200
66 6   300 	 0.3574E+03 0.1368E+01 	 0.3267E+03 0.1098E+01 6220 3400  # out_L6Lt300 #may not converged 
66 6   400 	 0.3576E+03 0.4290E+00 	 0.3251E+03 0.1604E+01 4770 3400  # out_L6Lt400 #may not converged 
66 6   500 	 0.3577E+03 0.4218E+00 	 0.3267E+03 0.6176E+00 4170 3400  # out_L6Lt500
66 6   600 	 0.3571E+03 0.5267E+00 	 0.3256E+03 0.8334E+00 3600 3400  # out_L6Lt600 #may need more run 

#(L=6) Ltouter=0 ntot=10000 MR=800 
66 6   100 	 0.4221E+03 0.7044E-01 	 0.4046E+03 0.9634E-01 10000 4080  # out_L6Lt100Lto0ifread0
66 6   200 	 0.3961E+03 0.1225E+00 	 0.3723E+03 0.1529E+00 10000 4080  # out_L6Lt200Lto0ifread0
66 6   300 	 0.3665E+03 0.1957E+00 	 0.3377E+03 0.2543E+00 8750 4080  # out_L6Lt300Lto0ifread0 #may not converged
66 6   400 	 0.3589E+03 0.3727E+00 	 0.3285E+03 0.3958E+00 7140 4080  # out_L6Lt400Lto0ifread0 #may not converged 
66 6   500 	 0.3576E+03 0.3798E+00 	 0.3265E+03 0.3954E+00 5990 4080  # out_L6Lt500Lto0ifread0
66 6   600 	 0.3581E+03 0.3397E+00 	 0.3265E+03 0.4126E+00 5090 4080  # out_L6Lt600Lto0ifread0


##(L=7) Ltouter=5 ntot=1000 MR=200 
#66 7   100 	 0.3085E+03 0.3959E+00 	 0.2875E+03 0.7282E+00 1000 3000  # out_0L7Lt100
#66 7   200 	 0.2875E+03 0.4838E+00 	 0.2656E+03 0.8455E+00 1000 3000  # out_0L7Lt200
#66 7   300 	 0.2745E+03 0.5870E+00 	 0.2514E+03 0.1006E+01 1000 3000  # out_0L7Lt300
#66 7   400 	 0.2703E+03 0.9031E+00 	 0.2473E+03 0.1097E+01 1000 3000  # out_0L7Lt400
#66 7   500 	 0.2691E+03 0.7504E+00 	 0.2442E+03 0.1248E+01 1000 3000  # out_0L7Lt500
#66 7   600 	 0.2686E+03 0.1083E+01 	 0.2440E+03 0.1311E+01 1000 3000  # out_0L7Lt600

#(L=7) Ltouter=5 ntot=10000 MR=200 
66 7   100 	 0.3087E+03 0.1284E+00 	 0.2886E+03 0.2342E+00 7210 3000  # out_L7Lt100
66 7   200 	 0.2877E+03 0.2249E+00 	 0.2651E+03 0.4051E+00 5030 3000  # out_L7Lt200 # may not converged 
66 7   300 	 0.2741E+03 0.2921E+00 	 0.2498E+03 0.4555E+00 3910 3000  # out_L7Lt300
66 7   400 	 0.2706E+03 0.7034E+00 	 0.2456E+03 0.9515E+00 3170 3000  # out_L7Lt400 #seems not converged 
66 7   500 	 0.2696E+03 0.5456E+00 	 0.2439E+03 0.8230E+00 2690 3000  # out_L7Lt500 #seems not converged 
66 7   600 	 0.2700E+03 0.5113E+00 	 0.2440E+03 0.7525E+00 2220 3000  # out_L7Lt600

#(L=7) Ltouter=5 Re-calculation  (2019/12/12 working on)
66 7   100       0.3088E+03 0.3014E+00   0.2889E+03 0.3756E+00 1220 4200  # out_L7Lt100Lto5ifread0
66 7   100       0.3087E+03 0.1156E+00   0.2884E+03 0.1440E+00 6540 4200  # out_L7Lt100Lto5ifread1
66 7   100       0.3086E+03 0.1214E+00   0.2884E+03 0.1348E+00 11690 4200  # out_L7Lt100Lto5ifread2
66 7   200       0.2883E+03 0.4256E+00   0.2658E+03 0.5260E+00 920 4200  # out_L7Lt200Lto5ifread0
66 7   200       0.2880E+03 0.1835E+00   0.2655E+03 0.2155E+00 4830 4200  # out_L7Lt200Lto5ifread1
66 7   200       0.2877E+03 0.1446E+00   0.2653E+03 0.1685E+00 8860 4200  # out_L7Lt200Lto5ifread2
66 7   300       0.2716E+03 0.1021E+01   0.2475E+03 0.1253E+01 750 4200  # out_L7Lt300Lto5ifread0
66 7   300       0.2735E+03 0.3150E+00   0.2491E+03 0.3751E+00 4010 4200  # out_L7Lt300Lto5ifread1
66 7   300       0.2735E+03 0.2091E+00   0.2490E+03 0.2437E+00 7260 4200  # out_L7Lt300Lto5ifread2
66 7   400       0.2692E+03 0.7904E+00   0.2444E+03 0.9151E+00 620 4200  # out_L7Lt400Lto5ifread0
66 7   400       0.2707E+03 0.3083E+00   0.2454E+03 0.3269E+00 3350 4200  # out_L7Lt400Lto5ifread1
66 7   400       0.2705E+03 0.2701E+00   0.2449E+03 0.2837E+00 6060 4200  # out_L7Lt400Lto5ifread2
66 7   500       0.2676E+03 0.9811E+00   0.2414E+03 0.1205E+01 540 4200  # out_L7Lt500Lto5ifread0
66 7   500       0.2700E+03 0.4118E+00   0.2437E+03 0.4928E+00 2910 4200  # out_L7Lt500Lto5ifread1
66 7   500       0.2698E+03 0.2834E+00   0.2435E+03 0.3335E+00 5270 4200  # out_L7Lt500Lto5ifread2
66 7   600       0.2651E+03 0.1591E+01   0.2379E+03 0.1925E+01 470 4200  # out_L7Lt600Lto5ifread0
66 7   600       0.2702E+03 0.3905E+00   0.2437E+03 0.4515E+00 2530 4200  # out_L7Lt600Lto5ifread1
66 7   600       0.2703E+03 0.2747E+00   0.2438E+03 0.3171E+00 4600 4200  # out_L7Lt600Lto5ifread2
66 7   700       0.2685E+03 0.1142E+01   0.2416E+03 0.1417E+01 430 4200  # out_L7Lt700Lto5ifread0
66 7   700       0.2699E+03 0.3463E+00   0.2431E+03 0.4476E+00 2280 4200  # out_L7Lt700Lto5ifread1
66 7   700       0.2703E+03 0.2501E+00   0.2436E+03 0.3119E+00 4130 4200  # out_L7Lt700Lto5ifread2
66 7   800       0.2669E+03 0.1151E+01   0.2414E+03 0.1626E+01 380 4200  # out_L7Lt800Lto5ifread0
66 7   800       0.2700E+03 0.3723E+00   0.2434E+03 0.4318E+00 2040 4200  # out_L7Lt800Lto5ifread1
66 7   800       0.2683E+03 0.2037E+01   0.2409E+03 0.2647E+01 3700 4200  # out_L7Lt800Lto5ifread2


#(L=7) Ltouter=0 ntot=10000 MR=800 
66 7   100 	 0.3278E+03 0.5792E-01 	 0.3152E+03 0.7428E-01 10000 3600  # out_L7Lt100Lto0ifread0
66 7   200 	 0.3095E+03 0.9923E-01 	 0.2916E+03 0.1227E+00 7400 3600  # out_L7Lt200Lto0ifread0 #may not converged
66 7   300 	 0.2907E+03 0.1541E+00 	 0.2695E+03 0.1905E+00 5590 3600  # out_L7Lt300Lto0ifread0 #may not converged
66 7   400 	 0.2749E+03 0.3399E+00 	 0.2508E+03 0.3611E+00 4560 3600  # out_L7Lt400Lto0ifread0
66 7   500 	 0.2713E+03 0.3177E+00 	 0.2457E+03 0.4103E+00 3820 3600  # out_L7Lt500Lto0ifread0 # need more run 
66 7   600 	 0.2700E+03 0.3489E+00 	 0.2443E+03 0.4172E+00 3310 3600  # out_L7Lt600Lto0ifread0
66 7   700 	 0.2697E+03 0.5411E+00 	 0.2431E+03 0.6201E+00 2890 3600  # out_L7Lt700Lto0ifread0 # need more run 


##(L=8) Ltouter=5 ntot=1000 MR=200 
#66 8   100 	 0.2465E+03 0.3144E+00 	 0.2307E+03 0.5508E+00 1000 3000  # out_1L8Lt100
#66 8   200 	 0.2363E+03 0.3397E+00 	 0.2195E+03 0.6170E+00 1000 3000  # out_1L8Lt200
#66 8   300 	 0.2224E+03 0.4551E+00 	 0.2027E+03 0.7988E+00 860 3000  # out_1L8Lt300
#66 8   400 	 0.2147E+03 0.7348E+00 	 0.1970E+03 0.1278E+01 540 3000  # out_1L8Lt400
#66 8   500 	 0.2131E+03 0.1090E+01 	 0.1935E+03 0.2023E+01 410 3000  # out_1L8Lt500
#66 8   600 	 0.2112E+03 0.1878E+01 	 0.1909E+03 0.3452E+01 340 3000  # out_1L8Lt600
#(L=8) Ltouter=5 ntot=10000 MR=200 
66 8   100 	 0.2466E+03 0.1346E+00 	 0.2308E+03 0.2261E+00 4850 3000  # out_2L8Lt100 #fluctuating
66 8   200 	 0.2365E+03 0.1635E+00 	 0.2194E+03 0.2832E+00 3440 3000  # out_2L8Lt200
66 8   300 	 0.2221E+03 0.2519E+00 	 0.2028E+03 0.3963E+00 2600 3000  # out_2L8Lt300
66 8   400 	 0.2145E+03 0.3403E+00 	 0.1943E+03 0.5075E+00 2170 3000  # out_2L8Lt400
66 8   500 	 0.2116E+03 0.4229E+00 	 0.1906E+03 0.5921E+00 1810 3000  # out_2L8Lt500
66 8   600 	 0.2102E+03 0.5713E+00 	 0.1878E+03 0.1361E+01 1550 3000  # out_2L8Lt600 # not converged 
#(L=8) Ltouter=5 ntot=10000 MR=800 
66 8   100 	 0.2466E+03 0.1399E+00 	 0.2304E+03 0.1678E+00 4310 3000  # out_L8Lt100MRtest
66 8   600 	 0.2100E+03 0.5986E+00 	 0.1885E+03 0.6985E+00 1660 2800  # out_L8Lt600MRtest
#(L=8) Ltouter=5 ntot=10000 MR=800 
66 8   100 	 0.2466E+03 0.9188E-01 	 0.2306E+03 0.1109E+00 6770 4000  # out_1L8Lt100Lto5 #fluctuating 
66 8   150 	 0.2420E+03 0.1007E+00 	 0.2258E+03 0.1190E+00 5850 4000  # out_1L8Lt150Lto5 #fluctuating
66 8   250 	 0.2290E+03 0.2971E+00 	 0.2108E+03 0.2996E+00 4530 4000  # out_1L8Lt250Lto5 #fluctuating
66 8   350 	 0.2169E+03 0.1973E+00 	 0.1967E+03 0.2285E+00 3790 4000  # out_1L8Lt350Lto5 
66 8   550 	 0.2116E+03 0.2608E+00 	 0.1897E+03 0.3066E+00 2800 4000  # out_1L8Lt550Lto5
66 8   600 	 0.2107E+03 0.3630E+00 	 0.1888E+03 0.4196E+00 2620 3600  # out_1L8Lt600Lto5
66 8   650 	 0.2112E+03 0.3502E+00 	 0.1888E+03 0.3807E+00 2480 3600  # out_1L8Lt650Lto5
66 8   700 	 0.2118E+03 0.2956E+00 	 0.1894E+03 0.3480E+00 2370 3600  # out_1L8Lt700Lto5
#(L=8) Ltouter=5 re-calculation with tapes(2019/12/12 working)  
66 8   100       0.2482E+03 0.6616E+00   0.2320E+03 0.8287E+00 410 4000  # out_L8Lt100Lto5ifread0
66 8   100       0.2471E+03 0.3603E+00   0.2307E+03 0.4355E+00 710 4000  # out_L8Lt100Lto5ifread1
66 8   100       0.2468E+03 0.1180E+00   0.2306E+03 0.1401E+00 4310 4000  # out_L8Lt100Lto5ifread2
66 8   200       0.2365E+03 0.2764E+00   0.2193E+03 0.2601E+00 2830 4000  # out_L8Lt200Lto5ifread0
66 8   200       0.2364E+03 0.1558E+00   0.2192E+03 0.1589E+00 5570 4000  # out_L8Lt200Lto5ifread1
66 8   200       0.2364E+03 0.1160E+00   0.2192E+03 0.1230E+00 8310 4000  # out_L8Lt200Lto5ifread2
66 8   300       0.2223E+03 0.2788E+00   0.2030E+03 0.3278E+00 2240 4000  # out_L8Lt300Lto5ifread0
66 8   300       0.2224E+03 0.1725E+00   0.2030E+03 0.2025E+00 4420 4000  # out_L8Lt300Lto5ifread1
66 8   300       0.2223E+03 0.1400E+00   0.2029E+03 0.1621E+00 6590 4000  # out_L8Lt300Lto5ifread2
66 8   400       0.2145E+03 0.2916E+00   0.1936E+03 0.3543E+00 1920 4000  # out_L8Lt400Lto5ifread0
66 8   400       0.2138E+03 0.3687E+00   0.1929E+03 0.3773E+00 3780 4000  # out_L8Lt400Lto5ifread1
66 8   400       0.2139E+03 0.2753E+00   0.1930E+03 0.2919E+00 5630 4000  # out_L8Lt400Lto5ifread2
66 8   500       0.2119E+03 0.4047E+00   0.1899E+03 0.4613E+00 1640 4000  # out_L8Lt500Lto5ifread0
66 8   500       0.2112E+03 0.5746E+00   0.1894E+03 0.6797E+00 3230 4000  # out_L8Lt500Lto5ifread1
66 8   500       0.2115E+03 0.3929E+00   0.1897E+03 0.4616E+00 4820 4000  # out_L8Lt500Lto5ifread2
66 8   500       0.2113E+03 0.3406E+00   0.1897E+03 0.3896E+00 6000 4000  # out_L8Lt500Lto5ifread3
66 8   600       0.2103E+03 0.5110E+00   0.1886E+03 0.6013E+00 1430 4050  # out_L8Lt600Lto5ifread0
66 8   600       0.2104E+03 0.4954E+00   0.1883E+03 0.5137E+00 2830 4050  # out_L8Lt600Lto5ifread1
66 8   600       0.2106E+03 0.3850E+00   0.1885E+03 0.3841E+00 4230 4050  # out_L8Lt600Lto5ifread2
66 8   700       0.2119E+03 0.4122E+00   0.1895E+03 0.4694E+00 1290 4050  # out_L8Lt700Lto5ifread0
66 8   700       0.2117E+03 0.3057E+00   0.1895E+03 0.3337E+00 2540 4050  # out_L8Lt700Lto5ifread1
66 8   700       0.2115E+03 0.2440E+00   0.1890E+03 0.3856E+00 3720 4050  # out_L8Lt700Lto5ifread2
66 8   700       0.2114E+03 0.2191E+00   0.1890E+03 0.3230E+00 4640 4050  # out_L8Lt700Lto5ifread3
66 8   800       0.2105E+03 0.8373E+00   0.1883E+03 0.7556E+00 1190 3200  # out_L8Lt800Lto5ifread0
66 8   800       0.2113E+03 0.4501E+00   0.1887E+03 0.4447E+00 2340 3200  # out_L8Lt800Lto5ifread1
66 8   800       0.2112E+03 0.3274E+00   0.1886E+03 0.3456E+00 3490 3200  # out_L8Lt800Lto5ifread2
66 8   900       0.2112E+03 0.5868E+00   0.1883E+03 0.7050E+00 780 4000  # out_L8Lt900Lto5ifread0


#(L=8) Ltouter=0 ntot=10000 MR=800 
66 8   100 	 0.2642E+03 0.4269E-01 	 0.2547E+03 0.5230E-01 9500 4500  # out_L8Lt100Lto0
66 8   150 	 0.2530E+03 0.5831E-01 	 0.2408E+03 0.7292E-01 7580 4500  # out_L8Lt150Lto0 #may not converged 
66 8   200 	 0.2475E+03 0.7354E-01 	 0.2336E+03 0.8896E-01 6650 4500  # out_L8Lt200Lto0 
66 8   250 	 0.2434E+03 0.8530E-01 	 0.2282E+03 0.1038E+00 5720 4500  # out_L8Lt250Lto0 #may not converged 
66 8   350 	 0.2319E+03 0.3654E+00 	 0.2147E+03 0.4370E+00 743  4500  # out_L8Lt350Lto0ifread0
66 8   450 	 0.2191E+03 0.6170E+00 	 0.1998E+03 0.7549E+00 0    4500  # out_L8Lt450Lto0ifread0
66 8   550 	 0.2135E+03 0.6883E+00 	 0.1924E+03 0.8304E+00 513  4500  # out_L8Lt550Lto0ifread0
66 8   600 	 0.2125E+03 0.8014E+00 	 0.1909E+03 0.9368E+00 493  4500  # out_L8Lt600Lto0ifread0
66 8   700 	 0.2113E+03 0.3927E+00 	 0.1893E+03 0.4082E+00 2610 3600  # out_L8Lt700Lto0ifread0

#(L=9) Ltouter=5 ntot=10000 MR=200 
66 9   100 	 0.2013E+03 0.1384E+00 	 0.1880E+03 0.2271E+00 3480 3000  # out_L9Lt100
66 9   200 	 0.1956E+03 0.1580E+00 	 0.1815E+03 0.2659E+00 2420 3000  # out_L9Lt200
66 9   300 	 0.1872E+03 0.2767E+00 	 0.1720E+03 0.4266E+00 1390 3000  # out_L9Lt300
66 9   400 	 0.1785E+03 0.2761E+00 	 0.1624E+03 0.4556E+00 1520 3000  # out_L9Lt400
66 9   500 	 0.1735E+03 0.3564E+00 	 0.1553E+03 0.5630E+00 1290 3000  # out_L9Lt500
66 9   600 	 0.1693E+03 0.7486E+00 	 0.1497E+03 0.1132E+01 1110 3000  # out_L9Lt600 #need more run 
#(L=9) Ltouter=5 ntot=10000 MR=800
66 9   450 	 0.1751E+03 0.2545E+00 	 0.1574E+03 0.2967E+00 2300 3200  # out_1L9Lt450Lto5
66 9   550 	 0.1714E+03 0.5819E+00 	 0.1527E+03 0.5833E+00 2190 2700  # out_1L9Lt550Lto5 # may not converged 
66 9   600 	 0.1704E+03 0.4105E+00 	 0.1514E+03 0.4525E+00 2010 3000  # out_1L9Lt600Lto5
66 9   650 	 0.1711E+03 0.4383E+00 	 0.1523E+03 0.4985E+00 1460 2100  # out_1L9Lt650Lto5
66 9   700 	 0.1708E+03 0.4783E+00 	 0.1516E+03 0.5502E+00 1380 2100  # out_1L9Lt700Lto5
66 9   750 	 0.1693E+03 0.4591E+00 	 0.1504E+03 0.5275E+00 1300 2100  # out_1L9Lt750Lto5
66 9   800 	 0.1702E+03 0.6952E+00 	 0.1505E+03 0.7951E+00 1200 1200  # out_1L9Lt800Lto5
66 9   900 	 0.1692E+03 0.8252E+00 	 0.1489E+03 0.1128E+01 1090 1200  # out_1L9Lt900Lto5 # need more run 
#(L=9) Ltouter=5 re-calculation(2019/12/12 working)
66 9   100       0.2013E+03 0.1261E+00   0.1883E+03 0.1461E+00 2650 4000  # out_L9Lt100Lto5ifread0
66 9   100       0.2013E+03 0.8934E-01   0.1883E+03 0.1030E+00 5130 4000  # out_L9Lt100Lto5ifread1
66 9   100       0.2013E+03 0.7502E-01   0.1883E+03 0.8742E-01 7660 4000  # out_L9Lt100Lto5ifread2
66 9   200       0.1956E+03 0.1552E+00   0.1818E+03 0.1820E+00 1990 4000  # out_L9Lt200Lto5ifread0
66 9   200       0.1957E+03 0.1066E+00   0.1818E+03 0.1252E+00 3900 4000  # out_L9Lt200Lto5ifread1
66 9   200       0.1956E+03 0.8695E-01   0.1818E+03 0.1020E+00 5810 4000  # out_L9Lt200Lto5ifread2
66 9   300       0.1880E+03 0.1912E+00   0.1728E+03 0.2279E+00 1620 4000  # out_L9Lt300Lto5ifread0
